ptmin ptmax central min max min_sc max_sc min_mass max_mass fr=dot5dot5 fr=22 fr=21 fr=12 fr=1dot5 fr=dot51
0.0000 1.0000 3.0620e+06 1.3515e+06 4.7180e+06 1.4420e+06 4.5660e+06 2.5130e+06 3.7550e+06 2.4350e+06 3.2550e+06 4.1240e+06 2.2160e+06 4.5660e+06 1.4420e+06
1.0000 2.0000 7.6360e+06 3.5727e+06 1.1435e+07 3.7870e+06 1.1070e+07 6.3340e+06 9.2600e+06 6.2710e+06 8.0880e+06 1.0020e+07 5.6220e+06 1.1070e+07 3.7870e+06
2.0000 3.0000 9.5730e+06 4.8176e+06 1.4017e+07 5.0650e+06 1.3610e+07 8.0590e+06 1.1430e+07 8.1970e+06 1.0050e+07 1.2360e+07 7.1330e+06 1.3610e+07 5.0650e+06
3.0000 4.0000 9.4830e+06 5.1162e+06 1.3778e+07 5.3370e+06 1.3450e+07 8.1120e+06 1.1130e+07 8.4820e+06 9.8040e+06 1.2180e+07 7.0800e+06 1.3450e+07 5.3370e+06
4.0000 5.0000 8.2790e+06 4.7602e+06 1.2013e+07 4.9300e+06 1.1790e+07 7.1990e+06 9.5510e+06 7.7230e+06 8.3930e+06 1.0590e+07 6.1710e+06 1.1790e+07 4.9300e+06
5.0000 6.0000 6.7170e+06 4.0906e+06 9.7254e+06 4.2110e+06 9.5860e+06 5.9310e+06 7.6220e+06 6.5120e+06 6.6830e+06 8.5290e+06 5.0010e+06 9.5860e+06 4.2110e+06
6.0000 7.0000 5.2360e+06 3.3570e+06 7.5444e+06 3.4390e+06 7.4590e+06 4.6870e+06 5.8580e+06 5.2500e+06 5.1250e+06 6.5840e+06 3.9030e+06 7.4590e+06 3.4390e+06
7.0000 8.0000 4.0080e+06 2.6827e+06 5.7346e+06 2.7380e+06 5.6820e+06 3.6290e+06 4.4310e+06 4.1250e+06 3.8700e+06 4.9830e+06 2.9960e+06 5.6820e+06 2.7380e+06
8.0000 9.0000 3.0510e+06 2.1153e+06 4.3293e+06 2.1530e+06 4.2960e+06 2.7880e+06 3.3410e+06 3.2010e+06 2.9150e+06 3.7500e+06 2.2920e+06 4.2960e+06 2.1530e+06
9.0000 10.000 2.3270e+06 1.6585e+06 3.2728e+06 1.6840e+06 3.2510e+06 2.1440e+06 2.5290e+06 2.4720e+06 2.2050e+06 2.8290e+06 1.7580e+06 3.2510e+06 1.6840e+06
10.000 12.000 3.1670e+06 2.3324e+06 4.3914e+06 2.3630e+06 4.3670e+06 2.9430e+06 3.4100e+06 3.4110e+06 2.9730e+06 3.7920e+06 2.4130e+06 4.3670e+06 2.3630e+06
12.000 16.000 3.1380e+06 2.4101e+06 4.2381e+06 2.4340e+06 4.2200e+06 2.9530e+06 3.3370e+06 3.4340e+06 2.9140e+06 3.6650e+06 2.4340e+06 4.2200e+06 2.4520e+06
16.000 24.000 1.9380e+06 1.5396e+06 2.5050e+06 1.5490e+06 2.4980e+06 1.8520e+06 2.0270e+06 2.1460e+06 1.7860e+06 2.1870e+06 1.5490e+06 2.4980e+06 1.6070e+06
