ptmin ptmax central min max min_sc max_sc min_mass max_mass fr=dot5dot5 fr=22 fr=21 fr=12 fr=1dot5 fr=dot51
0.0000 1.0000 1.3680e+08 3.3992e+07 3.9690e+08 3.4540e+07 3.9690e+08 1.2620e+08 1.3680e+08 1.4710e+08 2.7630e+08 3.6140e+08 7.2720e+07 3.9690e+08 3.4540e+07
1.0000 2.0000 2.7480e+08 2.6798e+07 6.5759e+08 3.3390e+07 6.5080e+08 2.1800e+08 3.4660e+08 9.5680e+07 3.8580e+08 5.9070e+08 1.5600e+08 6.5080e+08 3.3390e+07
2.0000 3.0000 1.8700e+08 4.3897e+07 3.8587e+08 4.8790e+07 3.7930e+08 1.4990e+08 2.3770e+08 1.0670e+08 2.1040e+08 3.2530e+08 1.1340e+08 3.7930e+08 4.8790e+07
3.0000 4.0000 9.6850e+07 3.7964e+07 1.7898e+08 4.0370e+07 1.7580e+08 8.0190e+07 1.1950e+08 7.7900e+07 9.8120e+07 1.4600e+08 6.2230e+07 1.7580e+08 4.0370e+07
4.0000 5.0000 4.9330e+07 2.4917e+07 8.4170e+07 2.6050e+07 8.2740e+07 4.1980e+07 5.9210e+07 4.6120e+07 4.7790e+07 6.8410e+07 3.3180e+07 8.2740e+07 2.6050e+07
5.0000 6.0000 2.6310e+07 1.5504e+07 4.2232e+07 1.6050e+07 4.1580e+07 2.2920e+07 3.0820e+07 2.6690e+07 2.4950e+07 3.4560e+07 1.8360e+07 4.1580e+07 1.6050e+07
6.0000 7.0000 1.4840e+07 9.6812e+06 2.2707e+07 9.9590e+06 2.2390e+07 1.3170e+07 1.7050e+07 1.5780e+07 1.3880e+07 1.8720e+07 1.0660e+07 2.2390e+07 9.9590e+06
7.0000 8.0000 8.8060e+06 6.1595e+06 1.2952e+07 6.3080e+06 1.2790e+07 7.9320e+06 9.9520e+06 9.6200e+06 8.1640e+06 1.0760e+07 6.4800e+06 1.2790e+07 6.3080e+06
8.0000 9.0000 5.4550e+06 4.0118e+06 7.7738e+06 4.0940e+06 7.6860e+06 4.9750e+06 6.0870e+06 6.0460e+06 5.0300e+06 6.5080e+06 4.0960e+06 7.6860e+06 4.0940e+06
9.0000 10.000 3.5110e+06 2.6360e+06 4.8712e+06 2.6810e+06 4.8210e+06 3.2340e+06 3.8770e+06 3.9200e+06 3.2250e+06 4.1080e+06 2.6810e+06 4.8210e+06 2.7260e+06
10.000 12.000 3.9350e+06 3.0241e+06 5.2938e+06 3.0650e+06 5.2450e+06 3.6650e+06 4.2960e+06 4.4150e+06 3.6030e+06 4.5070e+06 3.0650e+06 5.2450e+06 3.1670e+06
12.000 16.000 2.9600e+06 2.3501e+06 3.8144e+06 2.3720e+06 3.7840e+06 2.7980e+06 3.1860e+06 3.3330e+06 2.7030e+06 3.2950e+06 2.3720e+06 3.7840e+06 2.5020e+06
16.000 24.000 1.3190e+06 1.0876e+06 1.6141e+06 1.0940e+06 1.6030e+06 1.2650e+06 1.3990e+06 1.4820e+06 1.2030e+06 1.4220e+06 1.0940e+06 1.6030e+06 1.1760e+06
