 ptmin ptmax central min max min_sc max_sc min_mass max_mass fr=dot5dot5 fr=22 fr=21 fr=12 fr=1dot5 fr=dot51
0 0.0 1.0 79549200.0 19766348.0 230797350.0 20085010.0 230797350.0 73385300.0 79549200.0 85538650.0 160668450.0 210154100.0 42286680.0 230797350.0 20085010.0
1 1.0 2.0 117477000.0 11456145.0 281119725.0 14274225.0 278217000.0 93195000.0 148171500.0 40903200.0 164929500.0 252524250.0 66690000.0 278217000.0 14274225.0
2 2.0 3.0 77979000.0 18305049.0 160907790.0 20345430.0 158168100.0 62508300.00000001 99120900.00000001 44493900.00000001 87736800.00000001 135650100.0 47287800.00000001 158168100.0 20345430.0
3 3.0 4.0 42614000.0 16704160.0 78751200.0 17762800.0 77352000.0 35283600.0 52580000.0 34276000.0 43172800.0 64240000.0 27381200.0 77352000.0 17762800.0
4 4.0 5.0 23456415.0 11848033.5 40022835.0 12386775.0 39342870.0 19961490.0 28154355.000000004 21930060.0 22724145.0 32528955.000000004 15777090.000000002 39342870.0 12386775.0
5 5.0 6.0 11852655.0 6984552.0 19025516.0 7230525.0 18731790.0 10325460.0 13884410.0 12023845.0 11239975.0 15569280.0 8271180.0 18731790.0 7230525.0
6 6.0 7.0 7049000.0 4598570.0 10785825.0 4730525.0 10635250.0 6255750.0 8098750.0 7495500.0 6593000.0 8892000.0 5063500.0 10635250.0 4730525.0
7 7.0 8.0 4169641.0000000005 2916523.25 6132772.0 2986838.0 6056065.0 3755802.0000000005 4712272.0 4555070.0 3865654.0000000005 5094860.0 3068280.0 6056065.0 2986838.0
8 8.0 9.0 2520210.0 1853451.6 3591495.6 1891428.0 3550932.0 2298450.0 2812194.0 2793252.0 2323860.0 3006696.0 1892352.0 3550932.0 1891428.0
9 9.0 10.0 1660703.0 1246828.0 2304077.6 1268113.0 2280333.0 1529682.0 1833821.0 1854160.0 1525425.0 1943084.0 1268113.0 2280333.0 1289398.0
10 10.0 12.0 1530715.0 1176374.9000000001 2059288.2 1192285.0 2040305.0 1425685.0 1671144.0 1717435.0 1401567.0 1753223.0 1192285.0 2040305.0 1231963.0
11 12.0 16.0 1530320.0 1215001.7 1972044.8 1226324.0 1956328.0 1446566.0 1647162.0 1723161.0 1397451.0 1703515.0 1226324.0 1956328.0 1293534.0
12 16.0 24.0 395700.0 326280.0 484230.0 328200.0 480900.0 379500.0 419700.0 444600.0 360900.0 426600.0 328200.0 480900.0 352800.0
