 ptmin ptmax central min max min_sc max_sc min_mass max_mass fr=dot5dot5 fr=22 fr=21 fr=12 fr=1dot5 fr=dot51
0 0.0 1.0 45964800.0 11421312.0 133358400.00000001 11605440.0 133358400.00000001 42403200.0 45964800.0 49425600.0 92836800.0 121430400.00000001 24433920.0 133358400.00000001 11605440.0
1 1.0 2.0 81340800.00000001 7932208.000000001 194646640.00000003 9883440.000000002 192636800.00000003 64528000.00000001 102593600.00000001 28321280.000000004 114196800.00000001 174847200.00000003 46176000.00000001 192636800.00000003 9883440.000000002
2 2.0 3.0 47872000.0 11237632.0 98782720.0 12490240.0 97100800.0 38374400.0 60851200.0 27315200.0 53862400.0 83276800.0 29030400.0 97100800.0 12490240.0
3 3.0 4.0 20919600.0 8200224.0 38659680.0 8719920.0 37972800.0 17321040.0 25812000.0 16826400.0 21193920.0 31536000.0 13441680.0 37972800.0 8719920.0
4 4.0 5.0 11888530.0 6004997.0 20284970.0 6278050.0 19940340.0 10117180.0 14269610.0 11114920.0 11517390.0 16486810.0 7996380.0 19940340.0 6278050.0
5 5.0 6.0 4551630.0 2682192.0 7306135.999999999 2776650.0 7193339.999999999 3965159.9999999995 5331860.0 4617370.0 4316350.0 5978880.0 3176279.9999999995 7193339.999999999 2776650.0
6 6.0 7.0 3457720.0 2255719.6 5290731.0 2320447.0 5216870.0 3068610.0 3972650.0 3676740.0 3234040.0 4361760.0 2483780.0 5216870.0 2320447.0
7 7.0 8.0 2252868.3333333335 1575805.4166666667 3313553.3333333335 1613796.6666666667 3272108.3333333335 2029270.0000000002 2546053.3333333335 2461116.666666667 2088623.3333333335 2752766.666666667 1657800.0000000002 3272108.3333333335 1613796.6666666667
8 8.0 9.0 1317382.5 968849.7 1877372.7 988701.0 1856169.0 1201462.5 1470010.5 1460109.0 1214745.0 1571682.0 989184.0 1856169.0 988701.0
9 9.0 10.0 797582.1666666667 598811.3333333334 1106574.2666666668 609033.8333333334 1095170.5 734657.0 880725.1666666667 890493.3333333334 732612.5 933200.6666666667 609033.8333333334 1095170.5 619256.3333333334
10 10.0 12.0 988668.7499999999 759805.1249999999 1330067.2499999998 770081.2499999999 1317806.2499999998 920831.2499999999 1079370.0 1109268.7499999998 905253.7499999999 1132383.7499999998 770081.2499999999 1317806.2499999998 795708.7499999999
11 12.0 16.0 1021199.9999999999 810784.4999999999 1315968.0 818339.9999999999 1305480.0 965309.9999999999 1099170.0 1149885.0 932534.9999999999 1136775.0 818339.9999999999 1305480.0 863189.9999999999
12 16.0 24.0 312603.0 257761.19999999998 382541.69999999995 259278.0 379911.0 299805.0 331563.0 351234.0 285111.0 337014.0 259278.0 379911.0 278712.0
