 ptmin ptmax central min max min_sc max_sc min_mass max_mass fr=dot5dot5 fr=22 fr=21 fr=12 fr=1dot5 fr=dot51
0 0.0 1.0 83240064.00000003 20683452.160000008 241505712.0000001 21016899.200000007 241505712.0000001 76790176.00000003 83240064.00000003 89507408.00000003 168123024.00000006 219904672.0000001 44248665.60000002 241505712.0000001 21016899.200000007
1 1.0 2.0 165597228.00000003 16148742.780000003 396270309.90000004 20121147.900000002 392178588.00000006 131368980.00000001 208864626.00000003 57657724.80000001 232486938.00000003 355961727.00000006 94007160.00000001 392178588.00000006 20121147.900000002
2 2.0 3.0 111590379.99999999 26195095.779999997 230264063.79999998 29114944.599999998 226343481.99999997 89451325.99999999 141845097.99999997 63672157.99999999 125554095.99999999 194119521.99999997 67670316.0 226343481.99999997 29114944.599999998
3 3.0 4.0 50223504.5 19686991.48 92813658.6 20934670.9 91164606.0 41584128.3 61969115.0 40396603.0 50882088.4 75711220.0 32270611.099999998 91164606.0 20934670.9
4 4.0 5.0 23170794.3 11703764.07 39535490.7 12235945.5 38863805.4 19718425.8 27811529.1 21663025.2 22447440.900000002 32132861.1 15584977.8 38863805.4 12235945.5
5 5.0 6.0 9169824.3 5403609.12 14719118.96 5593906.5 14491877.4 7988307.600000001 10741694.6 9302265.7 8695823.5 12045196.8 6399010.8 14491877.4 5593906.5
6 6.0 7.0 5172185.2 3374188.636 7914070.71 3471010.27 7803586.7 4590140.1 5942436.5 5499803.4 4837596.4 6524481.600000001 3715329.8000000003 7803586.7 3471010.27
7 7.0 8.0 2983105.8833333333 2086581.9541666666 4387597.933333334 2136887.5666666664 4332719.083333333 2687031.1 3371322.933333333 3258855.1666666665 2765623.033333333 3645039.6666666665 2195154.0 4332719.083333333 2136887.5666666664
8 8.0 9.0 1741317.8250000002 1280626.7370000002 2481513.5670000003 1306866.2100000002 2453486.49 1588094.6250000002 1943061.705 1929973.8900000001 1605651.4500000002 2077451.2200000002 1307504.6400000001 2453486.49 1306866.2100000002
9 9.0 10.0 1052147.2216666667 789934.5133333333 1459760.6226666667 803419.7383333333 1444717.105 969138.17 1161827.0516666668 1174712.9333333333 966441.125 1231051.2066666668 803419.7383333333 1444717.105 816904.9633333334
10 10.0 12.0 1063853.4833333332 817585.5956666665 1431214.1219999997 828643.1833333332 1418020.7166666666 990857.1833333332 1161452.2399999998 1193624.683333333 974095.0699999998 1218497.4966666666 828643.1833333332 1418020.7166666666 856219.5633333332
11 12.0 16.0 626710.9333333332 497578.8393333332 807610.1973333332 502215.6533333332 801173.7066666664 592411.2133333331 674561.1599999998 705684.9799999999 572297.1799999998 697639.3666666665 502215.6533333332 801173.7066666664 529740.1199999999
12 16.0 24.0 124601.53333333327 102741.94666666661 152478.64666666658 103346.53333333328 151430.0666666666 119500.33333333327 132158.86666666658 139999.59999999992 113643.39999999994 134331.59999999992 103346.53333333328 151430.0666666666 111092.79999999994
